Year,Winning team,Coach,Results,Losing team,Coach
2019,Golden State Warriors,Steve Kerr,4-2,Toronto Raprors,Nick Nurse
2018,Golden State Warriors,Steve Kerr,4–0,Cleveland Cavaliers,Tyronn Lue
2017,Golden State Warriors,Steve Kerr,4–1,Cleveland Cavaliers,Tyronn Lue
2016,Cleveland Cavaliers,Tyronn Lue,4–3,Golden State Warriors,Steve Kerr
2015,Golden State Warriors,Steve Kerr,4–2,Cleveland Cavaliers,David Blatt
2014,San Antonio Spurs,Gregg Popovich,4–1,Miami Heat,Erik Spoelstra
2013,Miami Heat,Erik Spoelstra,4–3,San Antonio Spurs,Gregg Popovich
2012,Miami Heat,Erik Spoelstra,4–1,Oklahoma City Thunder,Scott Brooks
2011,Dallas Mavericks,Rick Carlisle,4–2,Miami Heat,Erik Spoelstra
2010,Los Angeles Lakers,Phil Jackson,4–3,Boston Celtics,Doc Rivers
2009,Los Angeles Lakers,Phil Jackson,4–1,Orlando Magic,Stan Van Gundy
2008,Boston Celtics,Doc Rivers,4–2,Los Angeles Lakers,Phil Jackson
2007,San Antonio Spurs,Gregg Popovich,4–0,Cleveland Cavaliers,Mike Brown
2006,Miami Heat,Pat Riley,4–2,Dallas Mavericks,Avery Johnson
2005,San Antonio Spurs,Gregg Popovich,4–3,Detroit Pistons,Larry Brown
2004,Detroit Pistons,Larry Brown,4–1,Los Angeles Lakers,Phil Jackson
2003,San Antonio Spurs,Gregg Popovich,4–2,New Jersey Nets,Byron Scott
2002,Los Angeles Lakers,Phil Jackson,4–0,New Jersey Nets,Byron Scott
2001,Los Angeles Lakers,Phil Jackson,4–1,Philadelphia 76ers,Larry Brown
2000,Los Angeles Lakers,Phil Jackson,4–2,Indiana Pacers,Larry Bird
1999,San Antonio Spurs,Gregg Popovich,4–1,New York Knicks,Jeff Van Gundy
1998,Chicago Bulls,Phil Jackson,4–2,Utah Jazz,Jerry Sloan
1997,Chicago Bulls,Phil Jackson,4–2,Utah Jazz,Jerry Sloan
1996,Chicago Bulls,Phil Jackson,4–2,Seattle SuperSonics,George Karl
1995,Houston Rockets,Rudy Tomjanovich,4–0,Orlando Magic,Brian Hill
1994,Houston Rockets,Rudy Tomjanovich,4–3,New York Knicks,Pat Riley
1993,Chicago Bulls,Phil Jackson,4–2,Phoenix Suns,Paul Westphal
1992,Chicago Bulls,Phil Jackson,4–2,Portland Trail Blazers,Rick Adelman
1991,Chicago Bulls,Phil Jackson,4–1,Los Angeles Lakers,Mike Dunleavy
1990,Detroit Pistons,Chuck Daly,4–1,Portland Trail Blazers,Rick Adelman
1989,Detroit Pistons,Chuck Daly,4–0,Los Angeles Lakers,Pat Riley
1988,Los Angeles Lakers,Pat Riley,4–3,Detroit Pistons,Chuck Daly
1987,Los Angeles Lakers,Pat Riley,4–2,Boston Celtics,K. C. Jones
1986,Boston Celtics,K. C. Jones,4–2,Houston Rockets,Bill Fitch
1985,Los Angeles Lakers,Pat Riley,4–2,Boston Celtics,K. C. Jones
1984,Boston Celtics,K. C. Jones,4–3,Los Angeles Lakers,Pat Riley
1983,Philadelphia 76ers,Billy Cunningham,4–0,Los Angeles Lakers,Pat Riley
1982,Los Angeles Lakers,Pat Riley,4–2,Philadelphia 76ers,Billy Cunningham
1981,Boston Celtics,Bill Fitch,4–2,Houston Rockets,Del Harris
1980,Los Angeles Lakers,Paul Westhead,4–2,Philadelphia 76ers,Billy Cunningham
1979,Seattle SuperSonics,Lenny Wilkens,4–1,Washington Bullets,Dick Motta
1978,Washington Bullets,Dick Motta,4–3,Seattle SuperSonics,Lenny Wilkens
1977,Portland Trail Blazers,Jack Ramsay,4–2,Philadelphia 76ers,Gene Shue
1976,Boston Celtics,Tom Heinsohn,4–2,Phoenix Suns,John MacLeod
1975,Golden State Warriors,Al Attles,4–0,Washington Bullets,K. C. Jones
1974,Boston Celtics,Tom Heinsohn,4–3,Milwaukee Bucks,Larry Costello
1973,New York Knicks,Red Holzman,4–1,Los Angeles Lakers,Bill Sharman
