,Year,Player,Tm,Age,Pos,college
0,1950.0,Curly Armstrong,FTW,31.0,G-F,Indiana University
1,1950.0,Cliff Barker,INO,29.0,SG,University of Kentucky
2,1950.0,Leo Barnhorst,CHS,25.0,SF,University of Notre Dame
3,1950.0,Ed Bartels,TOT,24.0,F,North Carolina State University
4,1950.0,Ed Bartels,DNN,24.0,F,North Carolina State University
5,1950.0,Ed Bartels,NYK,24.0,F,North Carolina State University
6,1950.0,Ralph Beard,INO,22.0,G,University of Kentucky
7,1950.0,Gene Berce,TRI,23.0,G-F,Marquette University
8,1950.0,Charlie Black,TOT,28.0,F-C,University of Kansas
9,1950.0,Charlie Black,FTW,28.0,F-C,University of Kansas
10,1950.0,Charlie Black,AND,28.0,F-C,University of Kansas
11,1950.0,Nelson Bobb,PHW,25.0,PG,Temple University
12,1950.0,Jake Bornheimer,PHW,22.0,F-C,Muhlenberg College
13,1950.0,Vince Boryla,NYK,22.0,SF,University of Denver
14,1950.0,Don Boven,WAT,24.0,F-G,Western Michigan University
15,1950.0,Harry Boykoff,WAT,27.0,C,St. John's University
16,1950.0,Joe Bradley,CHS,21.0,G,Oklahoma State University
17,1950.0,Bob Brannum,SHE,24.0,PF,Michigan State University
18,1950.0,Carl Braun,NYK,22.0,G-F,Colgate University
19,1950.0,Frankie Brian,AND,26.0,G,Louisiana State University
20,1950.0,Price Brookfield,ROC,29.0,F-G,West Texas A&M University
21,1950.0,Bob Brown,DNN,26.0,F,Miami University
22,1950.0,Jim Browne,DNN,20.0,C,
23,1950.0,Walt Budko,BLB,24.0,PF,Columbia University
24,1950.0,Jack Burmaster,SHE,23.0,G,University of Illinois at Urbana-Champaign
25,1950.0,Tommy Byrnes,BLB,26.0,F-G,Seton Hall University
26,1950.0,Bill Calhoun,ROC,22.0,SG,City College of San Francisco
27,1950.0,Don Carlson,MNL,30.0,G-F,University of Minnesota
28,1950.0,Bob Carpenter,FTW,32.0,F-C,East Texas State University
29,1950.0,Jake Carter,TOT,25.0,F-C,East Texas State University
30,1950.0,Jake Carter,DNN,25.0,F-C,East Texas State University
31,1950.0,Jake Carter,AND,25.0,F-C,East Texas State University
32,1950.0,Al Cervi*,SYR,32.0,PG,
33,1950.0,John Chaney,TOT,29.0,F-C,Louisiana State University
34,1950.0,John Chaney,TRI,29.0,F-C,Louisiana State University
35,1950.0,John Chaney,SHE,29.0,F-C,Louisiana State University
36,1950.0,Leroy Chollet,SYR,24.0,F,Canisius College
37,1950.0,Bill Closs,AND,28.0,SF,Rice University
38,1950.0,Paul Cloyd,TOT,29.0,G-F,University of Wisconsin
39,1950.0,Paul Cloyd,BLB,29.0,G-F,University of Wisconsin
40,1950.0,Paul Cloyd,WAT,29.0,G-F,University of Wisconsin
41,1950.0,Jack Coleman,ROC,25.0,PF,University of Louisville
42,1950.0,Bobby Cook,SHE,26.0,G-F,University of Wisconsin
43,1950.0,Ray Corley,SYR,22.0,G,Georgetown University
44,1950.0,Jack Cotton,DNN,25.0,F-C,University of Wyoming
45,1950.0,Dillard Crocker,DNN,25.0,PF,Western Michigan University
46,1950.0,Chink Crossin,PHW,26.0,G,University of Pennsylvania
47,1950.0,Fran Curran,ROC,27.0,G,University of Notre Dame
48,1950.0,Jimmy Darden,DNN,27.0,G,University of Denver
49,1950.0,Bob Davies*,ROC,30.0,PG,
50,1950.0,Hook Dillon,WSC,26.0,F,University of North Carolina
51,1950.0,Earl Dodd,DNN,25.0,F,Truman State University
52,1950.0,Joe Dolhon,BLB,22.0,G,New York University
53,1950.0,Bob Doll,BOS,30.0,F-C,University of Colorado
54,1950.0,Harry Donovan,NYK,23.0,G,Muhlenberg College
55,1950.0,Andy Duncan,ROC,27.0,F-C,College of William & Mary
56,1950.0,Dike Eddleman,TRI,27.0,SF,University of Illinois at Urbana-Champaign
57,1950.0,Gene Englund,TOT,32.0,F-C,University of Wisconsin
58,1950.0,Gene Englund,BOS,32.0,F-C,University of Wisconsin
59,1950.0,Gene Englund,TRI,32.0,F-C,University of Wisconsin
60,1950.0,Bob Evans,INO,24.0,G,Butler University
61,1950.0,Johnny Ezersky,TOT,27.0,F-G,University of Rhode Island
62,1950.0,Johnny Ezersky,BLB,27.0,F-G,University of Rhode Island
63,1950.0,Johnny Ezersky,BOS,27.0,F-G,University of Rhode Island
64,1950.0,Bob Feerick,WSC,30.0,F-G,Santa Clara University
65,1950.0,George Feigenbaum,BLB,20.0,G,University of Kentucky
66,1950.0,Arnie Ferrin,MNL,24.0,F-G,University of Utah
67,1950.0,Jerry Fleishman,PHW,27.0,SG,New York University
68,1950.0,Joe Fulks*,PHW,28.0,PF,
69,1950.0,Bill Gabor,SYR,27.0,SG,Syracuse University
70,1950.0,Elmer Gainer,WAT,31.0,F-C,DePaul University
71,1950.0,Harry Gallatin*,NYK,22.0,F-C,
72,1950.0,Vern Gardner,PHW,24.0,SG,University of Utah
73,1950.0,Frank Gates,AND,29.0,G,Sam Houston State University
74,1950.0,Dee Gibson,TRI,26.0,F-G,Western Kentucky University
75,1950.0,Hoot Gibson,TOT,28.0,F-C,Creighton University
76,1950.0,Hoot Gibson,BOS,28.0,F-C,Creighton University
77,1950.0,Hoot Gibson,WAT,28.0,F-C,Creighton University
78,1950.0,Chuck Gilmur,WSC,27.0,F-C,University of Washington
79,1950.0,Normie Glick,MNL,22.0,F,Loyola Marymount University
80,1950.0,Paul Gordon,BLB,22.0,F,University of Notre Dame
81,1950.0,Joe Graboski,CHS,20.0,F-C,
82,1950.0,Bud Grant,MNL,22.0,F,University of Minnesota
83,1950.0,Don Grate,SHE,26.0,F-G,Ohio State University
84,1950.0,Alex Groza,INO,23.0,C,University of Kentucky
85,1950.0,Al Guokas,TOT,24.0,F-G,Saint Joseph's University
86,1950.0,Al Guokas,DNN,24.0,F-G,Saint Joseph's University
87,1950.0,Al Guokas,PHW,24.0,F-G,Saint Joseph's University
88,1950.0,Robert Hahn,CHS,24.0,C,North Carolina State University
89,1950.0,Chick Halbert,WSC,30.0,C,West Texas A&M University
90,1950.0,Bruce Hale,INO,31.0,G-F,Santa Clara University
91,1950.0,Dale Hamilton,WAT,30.0,G-F,Franklin College
92,1950.0,Alex Hannum*,SYR,26.0,PF,
93,1950.0,John Hargis,AND,29.0,G-F,University of Texas at Austin
94,1950.0,Bob Harris,FTW,22.0,F-C,Oklahoma State University
95,1950.0,Bob Harrison,MNL,22.0,G,University of Michigan
96,1950.0,Billy Hassett,TOT,28.0,G,University of Notre Dame
97,1950.0,Billy Hassett,TRI,28.0,G,University of Notre Dame
98,1950.0,Billy Hassett,MNL,28.0,G,University of Notre Dame
99,1950.0,Marshall Hawkins,INO,25.0,F,University of Tennessee
100,1950.0,Bill Henry,TOT,25.0,C,Rice University
101,1950.0,Bill Henry,FTW,25.0,C,Rice University
102,1950.0,Bill Henry,TRI,25.0,C,Rice University
103,1950.0,Bill Herman,DNN,25.0,G,Mount Union College
104,1950.0,Kleggie Hermsen,CHS,26.0,C-F,University of Minnesota
105,1950.0,Sonny Hertzberg,BOS,27.0,G,City College of New York
106,1950.0,Paul Hoffman,BLB,24.0,G-F,Purdue University
107,1950.0,Joe Holland,INO,24.0,SF,University of Kentucky
108,1950.0,Red Holzman*,ROC,29.0,PG,
109,1950.0,Gene James,NYK,24.0,F,Marshall University
110,1950.0,Howie Janotta,BLB,25.0,F,Seton Hall University
111,1950.0,Tony Jaros,MNL,29.0,F-G,University of Minnesota
112,1950.0,Buddy Jeannette*,BLB,32.0,G,
113,1950.0,Arnie Johnson,ROC,29.0,SF,Bemidji State University
114,1950.0,Ralph Johnson,TOT,28.0,PG,Huntington University
115,1950.0,Ralph Johnson,AND,28.0,PG,Huntington University
116,1950.0,Ralph Johnson,FTW,28.0,PG,Huntington University
117,1950.0,Wah Wah,INO,23.0,PF,
118,1950.0,Noble Jorgensen,SHE,24.0,C,University of Iowa
119,1950.0,George Kaftan,BOS,21.0,SF,College of the Holy Cross
120,1950.0,Leo Katkaveck,WSC,26.0,G,North Carolina State University
121,1950.0,Jack Kerris,TOT,25.0,PF,Loyola University of Chicago
122,1950.0,Jack Kerris,TRI,25.0,PF,Loyola University of Chicago
123,1950.0,Jack Kerris,FTW,25.0,PF,Loyola University of Chicago
124,1950.0,Bob Kinney,BOS,29.0,C-F,Rice University
125,1950.0,Walt Kirk,TOT,25.0,PG,University of Illinois at Urbana-Champaign
126,1950.0,Walt Kirk,AND,25.0,PG,University of Illinois at Urbana-Champaign
127,1950.0,Walt Kirk,TRI,25.0,PG,University of Illinois at Urbana-Champaign
128,1950.0,Leo Klier,FTW,26.0,F-G,University of Notre Dame
129,1950.0,Duane Klueh,TOT,24.0,G,Indiana State University
130,1950.0,Duane Klueh,DNN,24.0,G,Indiana State University
131,1950.0,Duane Klueh,FTW,24.0,G,Indiana State University
132,1950.0,Lee Knorek,BLB,28.0,C,University of Detroit Mercy
133,1950.0,Milo Komenich,AND,29.0,F-C,University of Wyoming
134,1950.0,Leo Kubiak,WAT,22.0,G,Bowling Green State University
135,1950.0,Frank Kudelka,CHS,24.0,G-F,Saint Mary's College of California
136,1950.0,Walt Lautenbach,SHE,27.0,G-F,University of Wisconsin
137,1950.0,Tony Lavelli,BOS,23.0,F,Yale University
